YEARS,CO2EQ
2488,542.4471
2489,542.4471
2490,542.4471
2491,542.4471
2492,542.4471
2493,542.4471
2494,542.4471
2495,542.4471
2496,542.4471
2497,542.4471
2498,542.4471
2499,542.4471
2500,542.4471
2501,542.4471
2502,542.4471
2503,542.4471
2504,542.4471
2505,542.4471
2506,542.4471
2507,542.4471
2508,542.4471
2509,542.4471
2510,542.4471
2511,542.4471
2512,542.4471
2513,542.4471
2514,542.4471
2515,542.4471
2516,542.4471
2517,542.4471
2518,542.4471
2519,542.4471
2520,542.4471
2521,542.4471
2522,542.4471
2523,542.4471
2524,542.4471
2525,542.4471
2526,542.4471
2527,542.4471
2528,542.4471
2529,542.4471
2530,542.4471
2531,542.4471
2532,542.4471
2533,542.4471
2534,542.4471
2535,542.4471
2536,542.4471
2537,542.4471
2538,542.4471
2539,542.4471
2540,542.4471
2541,542.4471
2542,542.4471
2543,542.4471
2544,542.4471
2545,542.4471
2546,542.4471
2547,542.4471
2548,542.4471
2549,542.4471
2550,542.4471
2551,542.4471
2552,542.4471
2553,542.4471
2554,542.4471
2555,542.4471
2556,542.4471
2557,542.4471
2558,542.4471
2559,542.4471
2560,542.4471
2561,542.4471
2562,542.4471
2563,542.4471
2564,542.4471
2565,542.4471
2566,542.4471
2567,542.4471
2568,542.4471
2569,542.4471
2570,542.4471
2571,542.4471
2572,542.4471
2573,542.4471
2574,542.4471
2575,542.4471
2576,542.4471
2577,542.4471
2578,542.4471
2579,542.4471
2580,542.4471
2581,542.4471
2582,542.4471
2583,542.4471
2584,542.4471
2585,542.4471
2586,542.4471
2587,542.4471
2588,542.4471
2589,542.4471
2590,542.4471
2591,542.4471
2592,542.4471
2593,542.4471
2594,542.4471
2595,542.4471
2596,542.4471
2597,542.4471
2598,542.4471
2599,542.4471
2600,542.4471
2601,542.4471
2602,542.4471
2603,542.4471
2604,542.4471
2605,542.4471
2606,542.4471
2607,542.4471
2608,542.4471
2609,542.4471
2610,542.4471
2611,542.4471
2612,542.4471
2613,542.4471
2614,542.4471
2615,542.4471
2616,542.4471
2617,542.4471
2618,542.4471
2619,542.4471
2620,542.4471
2621,542.4471
2622,542.4471
2623,542.4471
2624,542.4471
2625,542.4471
2626,542.4471
2627,542.4471
2628,542.4471
2629,542.4471
2630,542.4471
2631,542.4471
2632,542.4471
2633,542.4471
2634,542.4471
2635,542.4471
2636,542.4471
2637,542.4471
2638,542.4471
2639,542.4471
2640,542.4471
2641,542.4471
2642,542.4471
2643,542.4471
2644,542.4471
2645,542.4471
2646,542.4471
2647,542.4471
2648,542.4471
2649,542.4471
2650,542.4471
2651,542.4471
2652,542.4471
2653,542.4471
2654,542.4471
2655,542.4471
2656,542.4471
2657,542.4471
2658,542.4471
2659,542.4471
2660,542.4471
2661,542.4471
2662,542.4471
2663,542.4471
2664,542.4471
2665,542.4471
2666,542.4471
2667,542.4471
2668,542.4471
2669,542.4471
2670,542.4471
2671,542.4471
2672,542.4471
2673,542.4471
2674,542.4471
2675,542.4471
2676,542.4471
2677,542.4471
2678,542.4471
2679,542.4471
2680,542.4471
2681,542.4471
2682,542.4471
2683,542.4471
2684,542.4471
2685,542.4471
2686,542.4471
2687,542.4471
2688,542.4471
2689,542.4471
2690,542.4471
2691,542.4471
2692,542.4471
2693,542.4471
2694,542.4471
2695,542.4471
2696,542.4471
2697,542.4471
2698,542.4471
2699,542.4471
2700,542.4471
2701,542.4471
2702,542.4471
2703,542.4471
2704,542.4471
2705,542.4471
2706,542.4471
2707,542.4471
2708,542.4471
2709,542.4471
2710,542.4471
2711,542.4471
2712,542.4471
2713,542.4471
2714,542.4471
2715,542.4471
2716,542.4471
2717,542.4471
2718,542.4471
2719,542.4471
2720,542.4471
2721,542.4471
2722,542.4471
2723,542.4471
2724,542.4471
